Service,DPT,PROTO
at-zis,206,TCP
at-zis,206,UDP
qmtp,209,TCP
qmtp,209,UDP
z3950,210,TCP
z3950,210,UDP
ipx,213,TCP
ipx,213,UDP
imap3,220,TCP
imap3,220,UDP
pawserv,345,TCP
pawserv,345,UDP
zserv,346,TCP
zserv,346,UDP
fatserv,347,TCP
fatserv,347,UDP
rpc2portmap,369,TCP
rpc2portmap,369,UDP
codaauth2,370,TCP
codaauth2,370,UDP
clearcase,371,TCP
clearcase,371,UDP
ulistserv,372,TCP
ulistserv,372,UDP
ldap,389,TCP
ldap,389,UDP
imsp,406,TCP
imsp,406,UDP
svrloc,427,TCP
svrloc,427,UDP
https,443,TCP
https,443,UDP
snpp,444,TCP
snpp,444,UDP
microsoft-ds,445,TCP
microsoft-ds,445,UDP
kpasswd,464,TCP
kpasswd,464,UDP
saft,487,TCP
saft,487,UDP
isakmp,500,TCP
isakmp,500,UDP
rtsp,554,TCP
rtsp,554,UDP
nqs,607,TCP
nqs,607,UDP
npmp-local,610,TCP
npmp-local,610,UDP
npmp-gui,611,TCP
npmp-gui,611,UDP
hmmp-ind,612,TCP
hmmp-ind,612,UDP
asf-rmcp,623,UDP
qmqp,628,TCP
qmqp,628,UDP
ipp,631,TCP
ipp,631,UDP
exec,512,TCP
biff,512,UDP
login,513,TCP
who,513,UDP
shell,514,TCP
syslog,514,UDP
printer,515,TCP
talk,517,UDP
ntalk,518,UDP
route,520,UDP
timed,525,UDP
tempo,526,TCP
courier,530,TCP
conference,531,TCP
netnews,532,TCP
netwall,533,UDP
gdomap,538,TCP
gdomap,538,UDP
uucp,540,TCP
klogin,543,TCP
kshell,544,TCP
dhcpv6-client,546,TCP
dhcpv6-client,546,UDP
dhcpv6-server,547,TCP
dhcpv6-server,547,UDP
afpovertcp,548,TCP
afpovertcp,548,UDP
idfp,549,TCP
idfp,549,UDP
remotefs,556,TCP
nntps,563,TCP
nntps,563,UDP
submission,587,TCP
submission,587,UDP
ldaps,636,TCP
ldaps,636,UDP
tinc,655,TCP
tinc,655,UDP
silc,706,TCP
silc,706,UDP
kerberos-adm,749,TCP
webster,765,TCP
webster,765,UDP
rsync,873,TCP
rsync,873,UDP
ftps-data,989,TCP
ftps,990,TCP
telnets,992,TCP
telnets,992,UDP
imaps,993,TCP
imaps,993,UDP
ircs,994,TCP
ircs,994,UDP
pop3s,995,TCP
pop3s,995,UDP
socks,1080,TCP
socks,1080,UDP
proofd,1093,TCP
proofd,1093,UDP
rootd,1094,TCP
rootd,1094,UDP
openvpn,1194,TCP
openvpn,1194,UDP
rmiregistry,1099,TCP
rmiregistry,1099,UDP
kazaa,1214,TCP
kazaa,1214,UDP
nessus,1241,TCP
nessus,1241,UDP
lotusnote,1352,TCP
lotusnote,1352,UDP
ms-sql-s,1433,TCP
ms-sql-s,1433,UDP
ms-sql-m,1434,TCP
ms-sql-m,1434,UDP
ingreslock,1524,TCP
ingreslock,1524,UDP
prospero-np,1525,TCP
prospero-np,1525,UDP
datametrics,1645,TCP
datametrics,1645,UDP
sa-msg-port,1646,TCP
sa-msg-port,1646,UDP
kermit,1649,TCP
kermit,1649,UDP
groupwise,1677,TCP
groupwise,1677,UDP
l2f,1701,TCP
l2f,1701,UDP
radius,1812,TCP
radius,1812,UDP
radius-acct,1813,TCP
radius-acct,1813,UDP
msnp,1863,TCP
msnp,1863,UDP
unix-status,1957,TCP
log-server,1958,TCP
remoteping,1959,TCP
cisco-sccp,2000,TCP
cisco-sccp,2000,UDP
search,2010,TCP
pipe-server,2010,TCP
nfs,2049,TCP
nfs,2049,UDP
gnunet,2086,TCP
gnunet,2086,UDP
rtcm-sc104,2101,TCP
rtcm-sc104,2101,UDP
gsigatekeeper,2119,TCP
gsigatekeeper,2119,UDP
gris,2135,TCP
gris,2135,UDP
cvspserver,2401,TCP
cvspserver,2401,UDP
venus,2430,TCP
venus,2430,UDP
venus-se,2431,TCP
venus-se,2431,UDP
codasrv,2432,TCP
codasrv,2432,UDP
codasrv-se,2433,TCP
codasrv-se,2433,UDP
mon,2583,TCP
mon,2583,UDP
dict,2628,TCP
dict,2628,UDP
f5-globalsite,2792,TCP
f5-globalsite,2792,UDP
gsiftp,2811,TCP
gsiftp,2811,UDP
gpsd,2947,TCP
gpsd,2947,UDP
gds-db,3050,TCP
gds-db,3050,UDP
icpv2,3130,TCP
icpv2,3130,UDP
iscsi-target,3260,TCP
mysql,3306,TCP
mysql,3306,UDP
nut,3493,TCP
nut,3493,UDP
distcc,3632,TCP
distcc,3632,UDP
daap,3689,TCP
daap,3689,UDP
svn,3690,TCP
svn,3690,UDP
suucp,4031,TCP
suucp,4031,UDP
sysrqd,4094,TCP
sysrqd,4094,UDP
sieve,4190,TCP
epmd,4369,TCP
epmd,4369,UDP
remctl,4373,TCP
remctl,4373,UDP
f5-iquery,4353,TCP
f5-iquery,4353,UDP
iax,4569,TCP
iax,4569,UDP
mtn,4691,TCP
mtn,4691,UDP
radmin-port,4899,TCP
radmin-port,4899,UDP
rfe,5002,UDP
rfe,5002,TCP
mmcc,5050,TCP
mmcc,5050,UDP
sip,5060,TCP
sip,5060,UDP
sip-tls,5061,TCP
sip-tls,5061,UDP
aol,5190,TCP
aol,5190,UDP
xmpp-client,5222,TCP
xmpp-client,5222,UDP
xmpp-server,5269,TCP
xmpp-server,5269,UDP
cfengine,5308,TCP
cfengine,5308,UDP
mdns,5353,TCP
mdns,5353,UDP
postgresql,5432,TCP
postgresql,5432,UDP
freeciv,5556,TCP
freeciv,5556,UDP
amqp,5672,TCP
amqp,5672,UDP
amqp,5672,sctp
ggz,5688,TCP
ggz,5688,UDP
x11,6000,TCP
x11,6000,UDP
x11-1,6001,TCP
x11-1,6001,UDP
x11-2,6002,TCP
x11-2,6002,UDP
x11-3,6003,TCP
x11-3,6003,UDP
x11-4,6004,TCP
x11-4,6004,UDP
x11-5,6005,TCP
x11-5,6005,UDP
x11-6,6006,TCP
x11-6,6006,UDP
x11-7,6007,TCP
x11-7,6007,UDP
gnutella-svc,6346,TCP
gnutella-svc,6346,UDP
gnutella-rtr,6347,TCP
gnutella-rtr,6347,UDP
sge-qmaster,6444,TCP
sge-qmaster,6444,UDP
sge-execd,6445,TCP
sge-execd,6445,UDP
mysql-proxy,6446,TCP
mysql-proxy,6446,UDP
afs3-fileserver,7000,TCP
afs3-fileserver,7000,UDP
afs3-callback,7001,TCP
afs3-callback,7001,UDP
afs3-prserver,7002,TCP
afs3-prserver,7002,UDP
afs3-vlserver,7003,TCP
afs3-vlserver,7003,UDP
afs3-kaserver,7004,TCP
afs3-kaserver,7004,UDP
afs3-volser,7005,TCP
afs3-volser,7005,UDP
afs3-errors,7006,TCP
afs3-errors,7006,UDP
afs3-bos,7007,TCP
afs3-bos,7007,UDP
afs3-update,7008,TCP
afs3-update,7008,UDP
afs3-rmtsys,7009,TCP
afs3-rmtsys,7009,UDP
font-service,7100,TCP
font-service,7100,UDP
http-alt,8080,TCP
http-alt,8080,UDP
bacula-dir,9101,TCP
bacula-dir,9101,UDP
bacula-fd,9102,TCP
bacula-fd,9102,UDP
bacula-sd,9103,TCP
bacula-sd,9103,UDP
xmms2,9667,TCP
xmms2,9667,UDP
nbd,10809,TCP
zabbix-agent,10050,TCP
zabbix-agent,10050,UDP
zabbix-trapper,10051,TCP
zabbix-trapper,10051,UDP
amanda,10080,TCP
amanda,10080,UDP
hkp,11371,TCP
hkp,11371,UDP
bprd,13720,TCP
bprd,13720,UDP
bpdbm,13721,TCP
bpdbm,13721,UDP
bpjava-msvc,13722,TCP
bpjava-msvc,13722,UDP
vnetd,13724,TCP
vnetd,13724,UDP
bpcd,13782,TCP
bpcd,13782,UDP
vopied,13783,TCP
vopied,13783,UDP
dcap,22125,TCP
gsidcap,22128,TCP
wnn6,22273,TCP
wnn6,22273,UDP
rtmp,1,ddp
nbp,2,ddp
echo,4,ddp
zip,6,ddp
kerberos4,750,UDP
kerberos4,750,TCP
kerberos-master,751,UDP
kerberos-master,751,TCP
passwd-server,752,UDP
krb-prop,754,TCP
krbupdate,760,TCP
console,782,TCP
swat,901,TCP
kpop,1109,TCP
knetd,2053,TCP
zephyr-srv,2102,UDP
zephyr-clt,2103,UDP
zephyr-hm,2104,UDP
eklogin,2105,TCP
kx,2111,TCP
iprop,2121,TCP
supfilesrv,871,TCP
supfiledbg,1127,TCP
linuxconf,98,TCP
poppassd,106,TCP
poppassd,106,UDP
ssmtp,465,TCP
moira-db,775,TCP
moira-update,777,TCP
moira-ureg,779,UDP
spamd,783,TCP
omirr,808,TCP
omirr,808,UDP
customs,1001,TCP
customs,1001,UDP
skkserv,1178,TCP
predict,1210,UDP
rmtcfg,1236,TCP
wipld,1300,TCP
xtel,1313,TCP
xtelw,1314,TCP
support,1529,TCP
cfinger,2003,TCP
frox,2121,TCP
ninstall,2150,TCP
ninstall,2150,UDP
zebrasrv,2600,TCP
zebra,2601,TCP
ripd,2602,TCP
ripngd,2603,TCP
ospfd,2604,TCP
bgpd,2605,TCP
ospf6d,2606,TCP
ospfapi,2607,TCP
isisd,2608,TCP
afbackup,2988,TCP
afbackup,2988,UDP
afmbackup,2989,TCP
afmbackup,2989,UDP
xtell,4224,TCP
fax,4557,TCP
hylafax,4559,TCP
distmp3,4600,TCP
munin,4949,TCP
enbd-cstatd,5051,TCP
enbd-sstatd,5052,TCP
pcrd,5151,TCP
noclog,5354,TCP
noclog,5354,UDP
hostmon,5355,TCP
hostmon,5355,UDP
rplay,5555,UDP
nrpe,5666,TCP
nsca,5667,TCP
mrtd,5674,TCP
bgpsim,5675,TCP
canna,5680,TCP
sane-port,6566,TCP
ircd,6667,TCP
zope-ftp,8021,TCP
tproxy,8081,TCP
omniorb,8088,TCP
omniorb,8088,UDP
clc-build-daemon,8990,TCP
xinetd,9098,TCP
mandelspawn,9359,UDP
git,9418,TCP
zope,9673,TCP
webmin,10000,TCP
kamanda,10081,TCP
kamanda,10081,UDP
amandaidx,10082,TCP
amidxtape,10083,TCP
smsqp,11201,TCP
smsqp,11201,UDP
xpilot,15345,TCP
xpilot,15345,UDP
sgi-cmsd,17001,UDP
sgi-crsd,17002,UDP
sgi-gcd,17003,UDP
sgi-cad,17004,TCP
isdnlog,20011,TCP
isdnlog,20011,UDP
vboxd,20012,TCP
vboxd,20012,UDP
binkp,24554,TCP
asp,27374,TCP
asp,27374,UDP
csync2,30865,TCP
dircproxy,57000,TCP
tfido,60177,TCP
fido,60179,TCP
